Country,ISO3,Inform Risk,Risk Class,Rank,Lack of Reliability (*),Hazard & Exposure,Natural,Earthquake,River Flood,Tsunami,Tropical Cyclone,Coastal flood,Drought,Epidemic,Human,Projected Conflict Risk,Current Highly Violent Conflict Intensity,Vulnerability,Socio-Economic Vulnerability,Development & Deprivation,Inequality,Economic Dependency,Vulnerable Groups,Uprooted people,Health Conditions,Children U5,Recent Shocks,Food Security,Other Vulnerable Groups,Lack of Coping Capacity,Institutional,DRR,Governance,Infrastructure,Communication,Physical infrastructure,Access to health care,Number of Missing Indicators,% of Missing Indicators,Countries in HVC,Recentness data (average years),Corruption
Nigeria,NGA,6.6,High,19,0.936936937,7.4,4.6,0.1,8.2,0,0,6.4,2.2,8.2,9,10,9,6.4,5.6,7.8,5.8,1,7,8.2,5.3,6.3,4.9,4.2,5.2,6.2,5,2.7,7.3,7.1,5.3,6.6,9.3,0,0,YES,0.175675676,7.5
North Macedonia,MKD,2.2,Low,154,3.725252525,1.7,3,6.5,4.2,0,0,0,2.4,4.8,0.1,0.1,0,1.7,2.1,1.7,2,3,1.2,1.6,0.1,0.3,1,1.8,0.8,3.6,4.7,3.8,5.6,2.3,1.9,1.7,3.3,7,0.137254902,,0.348484848,5.8
Norway,NOR,1.7,Very Low,175,3.682539683,1.4,2.6,0.4,5.9,0,0,6.6,0.6,1.2,0,0,0,2.2,0.1,0,0.5,0,3.9,6.3,0.1,0.2,0,0.8,0.3,1.6,1.9,2.3,1.5,1.2,1.6,1.9,0.1,10,0.196078431,,0.19047619,1.6
Oman,OMN,2.5,Low,139,3.774358974,2.7,4.7,0.1,2.1,9,3.8,5.6,1.1,5.7,0.1,0.1,0,1.4,1.9,1.7,4,0.1,0.9,1,0.1,1.7,0,1,0.7,4.1,5.4,x,5.4,2.4,1.2,3.5,2.5,8,0.156862745,,0.307692308,5.7
Pakistan,PAK,6.1,High,23,2.45258216,7.2,7.3,9.2,9.5,6.1,7.1,4.4,3,7.7,7,10,0,5.9,5.3,7.9,4.2,1.3,6.4,7.6,1.7,5,6.9,4.8,4.9,5.3,5.3,4,6.6,5.2,5.5,4.8,5.4,3,0.058823529,,0.309859155,7.1
Palau,PLW,2.7,Low,128,5.142857143,1.3,2.4,0.1,0,4.4,0.5,4.5,3.5,2.4,0,0,0,3.9,4.1,2.7,x,6.8,3.7,0,0.5,1.2,10,6.2,6.2,4.1,5.8,5.9,5.6,1.8,1.4,1.4,2.6,19,0.37254902,,0.214285714,0
Palestine,PSE,3.7,Medium,78,4.711111111,2.1,1.7,4.7,0,0.8,0,0,0,4.4,2.5,3.5,0,6.1,3.8,2.5,2.2,7.9,7.7,10,0,0.8,0,2.4,0.8,4,6.1,5.7,6.5,0.9,2.3,0.2,0.3,14,0.274509804,,0.183333333,0
Panama,PAN,3.6,Medium,81,3.140298507,2.9,5,7.8,0.2,8.5,0,5.9,0.8,5.4,0.1,0.1,0,3.9,2.6,1.9,5.9,0.6,5,7.5,0.8,0.9,0.2,1.3,0.8,4,5,4.3,5.6,2.8,2,3.8,2.7,7,0.137254902,,0.23880597,6.5
Papua New Guinea,PNG,6.7,High,16,5.209950249,6.6,6.1,9.2,4.6,7.1,2.8,6.3,2.5,6.5,7,6.8,7,6,6.5,8.1,7,2.6,5.4,6.2,5.1,4.8,0.2,6.5,4.5,7.6,6.8,6.7,6.9,8.3,7.3,9.6,7.9,7,0.137254902,YES,0.626865672,7.1
Paraguay,PRY,2.7,Low,128,2.457971014,1.5,2.6,0.1,5.6,0,0,0,4.1,5.4,0.3,0.4,0,2.9,3.6,4.2,5.2,0.8,2.2,3.1,1.3,0.9,0.6,1.4,1.1,4.3,5.2,3.7,6.7,3.3,1.9,3,5.1,4,0.078431373,,0.260869565,7.2
Peru,PER,4.8,Medium,40,2.23681592,4.8,6.4,9.6,6.5,9.1,0,3.3,3.7,5.2,2.7,3.8,0,5.2,3.3,4.1,4.5,0.5,6.7,9.1,0.9,0.8,2.1,2.2,1.5,4.3,4.8,3.6,6,3.8,2.1,4.4,4.9,6,0.117647059,,0.119402985,6.7
Philippines,PHL,5.3,High,29,1.866666667,7.7,8.2,9.7,6.7,9.4,9.2,8.9,3.3,6.3,7,9.3,7,4.6,3.6,4.6,4.8,0.5,5.5,4.9,3.9,3.1,10,1.6,6.1,4.2,4.7,3.5,5.8,3.7,2.2,2.7,6.3,3,0.058823529,YES,0.2,6.6
Poland,POL,2.5,Low,139,4.867724868,1.5,2.8,0.7,5.9,0,0,5.7,1.9,2.6,0.1,0.2,0,3.6,0.6,0.5,1.2,0.3,5.8,8.5,0.1,0.3,0,0.7,0.3,2.9,4.4,4.3,4.5,1.1,1.3,0,2.1,10,0.196078431,,0.412698413,4.6
